2024-03-06 20:27:08 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 133ms
2024-03-06 20:27:30 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/, Status: 200, Duration: 14ms
2024-03-06 20:27:32 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 24ms
2024-03-06 20:27:41 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 401, Duration: 1ms
2024-03-06 20:27:43 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 401, Duration: 1ms
2024-03-06 20:29:17 [Winston 연습 어플리케이션] info: Method: POST, URL: /api/sign-up, Status: 409, Duration: 88ms
2024-03-06 20:29:20 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 52ms
2024-03-06 20:29:39 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 401, Duration: 2ms
2024-03-06 20:30:00 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 401, Duration: 2ms
2024-03-06 20:30:12 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 401, Duration: 2ms
2024-03-06 20:30:13 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 401, Duration: 1ms
2024-03-06 20:30:53 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 85ms
2024-03-06 20:30:56 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 53ms
2024-03-06 20:30:59 [Winston 연습 어플리케이션] info: Method: POST, URL: /api/categories, Status: 400, Duration: 5ms
2024-03-06 20:34:22 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 183ms
2024-03-06 20:34:26 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 53ms
2024-03-06 20:34:28 [Winston 연습 어플리케이션] info: Method: POST, URL: /api/categories, Status: 400, Duration: 6ms
2024-03-06 20:34:32 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 201, Duration: 45ms
2024-03-06 20:34:34 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/, Status: 200, Duration: 10ms
2024-03-06 20:34:38 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories/1/menus, Status: 201, Duration: 57ms
2024-03-06 20:34:40 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 16ms
2024-03-06 20:43:35 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 160ms
2024-03-06 20:43:37 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 53ms
2024-03-06 20:43:39 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 201, Duration: 42ms
2024-03-06 20:43:42 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/, Status: 200, Duration: 10ms
2024-03-06 20:43:44 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories/1/menus, Status: 201, Duration: 53ms
2024-03-06 20:43:46 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 15ms
