2024-03-07 16:30:33 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 200ms
2024-03-07 16:30:37 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 59ms
2024-03-07 16:30:56 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 201, Duration: 61ms
2024-03-07 16:31:08 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 201, Duration: 66ms
2024-03-07 16:31:08 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 201, Duration: 54ms
2024-03-07 16:31:09 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories, Status: 201, Duration: 48ms
2024-03-07 16:31:11 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories, Status: 200, Duration: 23ms
2024-03-07 16:31:12 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories, Status: 304, Duration: 9ms
2024-03-07 16:31:12 [Winston 연습 어플리케이션] info: Method: GET, URL: /favicon.ico, Status: 404, Duration: 3ms
2024-03-07 16:33:05 [Winston 연습 어플리케이션] info: Method: POST, URL: /api/categories/1, Status: 404, Duration: 1ms
2024-03-07 16:33:19 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories/1/menus, Status: 400, Duration: 3ms
2024-03-07 16:35:03 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 116ms
2024-03-07 16:35:06 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories/1/menus, Status: 201, Duration: 65ms
2024-03-07 16:35:53 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 30ms
2024-03-07 16:36:09 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 404, Duration: 1ms
2024-03-07 16:36:45 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 404, Duration: 1ms
2024-03-07 16:37:06 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 401, Duration: 1ms
2024-03-07 16:37:34 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 95ms
2024-03-07 16:37:37 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 57ms
2024-03-07 16:37:41 [Winston 연습 어플리케이션] info: Method: POST, URL: /api/orders, Status: 500, Duration: 87ms
2024-03-07 16:40:07 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 201ms
2024-03-07 16:40:11 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 60ms
2024-03-07 16:40:17 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 400, Duration: 17ms
2024-03-07 16:40:59 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 201, Duration: 120ms
2024-03-07 16:41:15 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 41ms
2024-03-07 16:41:54 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /categories/1/menus/1, Status: 401, Duration: 2ms
2024-03-07 16:42:18 [Winston 연습 어플리케이션] info: Method: POST, URL: /sign-up, Status: 201, Duration: 108ms
2024-03-07 16:42:33 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 69ms
2024-03-07 16:42:35 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 20ms
2024-03-07 17:09:20 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 38ms
2024-03-07 17:10:22 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 232ms
2024-03-07 17:10:24 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 20ms
2024-03-07 17:10:25 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 10ms
2024-03-07 17:10:43 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 17ms
2024-03-07 17:12:24 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories/1/menus, Status: 201, Duration: 109ms
2024-03-07 17:12:31 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 10ms
2024-03-07 17:15:30 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 16ms
2024-03-07 17:17:25 [Winston 연습 어플리케이션] info: Method: POST, URL: /categories/1/menus, Status: 201, Duration: 52ms
2024-03-07 17:17:31 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 9ms
2024-03-07 17:17:43 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /api/categories/1/menus/1, Status: 500, Duration: 16ms
2024-03-07 17:18:01 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 129ms
2024-03-07 17:18:03 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /categories/1/menus/1, Status: 200, Duration: 71ms
2024-03-07 17:18:49 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 36ms
2024-03-07 17:19:08 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 72ms
2024-03-07 17:19:15 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 201, Duration: 104ms
2024-03-07 17:19:18 [Winston 연습 어플리케이션] info: Method: GET, URL: /categories/1/menus, Status: 200, Duration: 16ms
2024-03-07 17:22:01 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 163ms
2024-03-07 17:22:03 [Winston 연습 어플리케이션] info: Method: GET, URL: /orders/customer, Status: 200, Duration: 23ms
2024-03-07 17:22:35 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 63ms
2024-03-07 17:23:27 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 131ms
2024-03-07 17:24:39 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 134ms
2024-03-07 17:24:41 [Winston 연습 어플리케이션] info: Method: GET, URL: /orders/owner, Status: 200, Duration: 37ms
2024-03-07 17:25:46 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 125ms
2024-03-07 17:26:19 [Winston 연습 어플리케이션] info: Method: PATCH, URL: /orders/1/status, Status: 200, Duration: 54ms
2024-03-07 17:26:25 [Winston 연습 어플리케이션] info: Method: GET, URL: /orders/owner, Status: 200, Duration: 35ms
2024-03-07 17:28:27 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 70ms
2024-03-07 17:28:36 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 201, Duration: 89ms
2024-03-07 17:30:03 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 128ms
2024-03-07 17:30:06 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 201, Duration: 116ms
2024-03-07 17:32:34 [Winston 연습 어플리케이션] info: Method: POST, URL: /, Status: 200, Duration: 135ms
2024-03-07 17:32:41 [Winston 연습 어플리케이션] info: Method: POST, URL: /orders, Status: 201, Duration: 259ms
